清洗后名称,item_names,标准化名称,结果类型,是否为总结型指标,chk_item,备注
V25L/MIN,职业健康检查-肺功能,V25L/MIN,数值型,,,
矫正视力右,"耳鼻喉检查,眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),耳鼻喉科检查,眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),眼科检查(视力),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4),五官科(入职)",矫正视力（右）,描述型,,,
耳鼻喉科其他,耳鼻喉科检查,耳鼻喉科其他,描述型,,,
现病史内科,内科检查,既往病史,描述型,,,
小,"内科检查,外科检查,耳鼻喉检查,眼科检查,耳鼻喉检查(1),口腔检查,颅脑CT(不出片),彩超(甲状腺),耳鼻喉科一般检查,胸部正位(DR),双乳腺彩超,内科,甲状腺彩超(双侧),眼科检查(外眼|眼底),肝胆脾胰肾彩超,甲状腺超声,前列腺超声,前列腺彩超,肺功能检查,外科,前列腺超声(需憋尿),颈动脉彩超,乳房超声,彩超(肝胆胰脾双肾),彩超(前列腺+膀胱)男,膀胱前列腺输尿管超声,耳鼻咽喉科,颈动脉彩超检查,子宫附件超声,骨密度(超声),外眼及视力+裂隙灯检查,男性彩超(需憋尿),泌尿系统彩超,子宫及附件彩超,阴超,眼科检查(外眼|眼底|眼压),前列腺彩色超声,超声(腹部),外科检查(含肛检),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查+裂隙灯检查,彩超(肝胆脾胰肾彩超),全身MTD检查,超声(膀胱子宫附件输尿管),超声检查(肝胆肾),泌尿生殖系彩超-图文",小结,描述型,,,
其他检查,"外科检查,外科检查(男),外科,外科检查(常规),外科检查(女),外科检查(含肛检),女外科检查,(女)外科检查,男外科检查,外科检查(女2),(男)外科检查,外科检查(男2),外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",其他检查,描述型,,,
纯音听力测定,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉(赠送)",纯音听力测定,描述型,,,
鼻甲,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科一般检查,耳鼻喉科检查,外眼检查,耳鼻喉内窥镜检测,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查,衢州-耳鼻咽喉检查,耳鼻喉科常规检查,耳鼻喉检查(常规),耳鼻喉(职业病检查),耳鼻喉,耳鼻喉科常规检测,耳鼻喉(外耳外鼻|鼻窦和咽部),听力检测,耳鼻喉科检查(含一次性器械),音叉检查,V耳鼻喉科,耳鼻喉检查(赣州),耳鼻喉检查(2),耳鼻喉(省),耳鼻喉+(喉镜),内窥镜耳鼻咽喉检查,2019耳鼻喉,耳鼻喉常规检查,耳|鼻|喉科,耳鼻喉科检查(餐前),K耳鼻喉检查,OY耳鼻喉检查,(一楼)耳鼻喉科检查,KS耳鼻喉科检查,(JZ)耳鼻喉科检查,2018耳鼻喉科,耳鼻咽喉内窥镜检查,耳鼻喉检查A,耳|鼻|喉,耳鼻喉检查(职业病),鼻内镜检查(医保),硬性鼻咽镜检查(医保),硬性耳内镜检查(医保),(外)耳鼻喉检查,耳鼻喉检查(1)(绵阳),耳鼻喉检查(A区309),耳鼻喉检查(平安),K-(职业)耳科常规检查,耳鼻喉科(入职),音叉测听,MJ耳鼻喉科检查,K-(职业)耳鼻喉常规检查,耳科(职),间接鼻咽镜检查,耳鼻喉科(入职)(BN),耳鼻喉(延期),(306)耳鼻喉科常规检查,耳鼻喉检查(空腹),听力(128HZ音叉),耳鼻喉科(职),耳鼻喉检查N,耳鼻喉科内窥镜检查,五官科(入职),耳鼻喉常规检查(赠送),耳鼻喉科(打包),耳鼻喉检查(赠送),耳鼻喉检查(常规+电耳镜),耳鼻喉检查(三),五官科(入职)(BN),耳鼻喉(职业健康检查),丽水-耳鼻喉检查,耳鼻喉检查1,鼻内镜检查,慈铭-耳鼻喉科检查,耳鼻咽喉科(团),职业健康检查-耳鼻喉,耳鼻喉科(AY),耳鼻喉科常规检查(大连),耳|鼻|喉科-A16室,职业健康-耳鼻喉,耳鼻喉常规(职业病),耳鼻喉1,耳鼻喉科检查(M),耳鼻常规检查,(科室04)耳鼻喉检查,职业健康检查(耳科常规),耳鼻喉检查(013科室),MZ耳鼻喉科检查,耳鼻咽喉科(7Y),电耳镜检查,耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),耳鼻咽常规检查,耳内镜,耳鼻喉基础(外检项目,含鼻钳),耳鼻喉检查2楼,耳鼻喉(赠送)",鼻甲,描述型,,,
CT检查,"CT检查,头颅CT平扫",CT检查,描述型,同chk_item,,
鼻腔黏膜及分泌?,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科一般检查,耳鼻喉科检查,外眼检查,耳鼻喉内窥镜检测,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查,衢州-耳鼻咽喉检查,耳鼻喉科常规检查,耳鼻喉检查(常规),耳鼻喉(职业病检查),耳鼻喉,耳鼻喉科常规检测,耳鼻喉(外耳外鼻|鼻窦和咽部),听力检测,耳鼻喉科检查(含一次性器械),音叉检查,V耳鼻喉科,耳鼻喉检查(赣州),耳鼻喉检查(2),耳鼻喉(省),耳鼻喉+(喉镜),内窥镜耳鼻咽喉检查,2019耳鼻喉,耳鼻喉常规检查,耳|鼻|喉科,耳鼻喉科检查(餐前),K耳鼻喉检查,OY耳鼻喉检查,(一楼)耳鼻喉科检查,KS耳鼻喉科检查,(JZ)耳鼻喉科检查,2018耳鼻喉科,耳鼻咽喉内窥镜检查,耳鼻喉检查A,耳|鼻|喉,耳鼻喉检查(职业病),鼻内镜检查(医保),硬性鼻咽镜检查(医保),硬性耳内镜检查(医保),(外)耳鼻喉检查,耳鼻喉检查(1)(绵阳),耳鼻喉检查(A区309),耳鼻喉检查(平安),K-(职业)耳科常规检查,耳鼻喉科(入职),音叉测听,MJ耳鼻喉科检查,K-(职业)耳鼻喉常规检查,耳科(职),间接鼻咽镜检查,职业健康体检项目:耳鼻喉常规检查,耳鼻喉科(入职)(BN),耳鼻喉(延期),(306)耳鼻喉科常规检查,耳鼻喉检查(空腹),听力(128HZ音叉),耳鼻喉科(职),耳鼻喉检查N,耳鼻喉科内窥镜检查,五官科(入职),耳鼻喉常规检查(赠送),耳鼻喉科(打包),耳鼻喉检查(赠送),耳鼻喉检查(常规+电耳镜),耳鼻喉检查(三),五官科(入职)(BN),耳鼻喉(职业健康检查),丽水-耳鼻喉检查,耳鼻喉检查1,鼻内镜检查,慈铭-耳鼻喉科检查,耳鼻咽喉科(团),职业健康检查-耳鼻喉,耳鼻喉科(AY),耳鼻喉科常规检查(大连),耳|鼻|喉科-A16室,职业健康-耳鼻喉,耳鼻喉常规(职业病),耳鼻喉1,耳鼻喉科检查(M),耳鼻常规检查,(科室04)耳鼻喉检查,职业健康检查(耳科常规),耳鼻喉检查(013科室),MZ耳鼻喉科检查,耳鼻咽喉科(7Y),电耳镜检查,耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),耳鼻咽常规检查,耳内镜,耳鼻喉基础(外检项目,含鼻钳),耳鼻喉检查2楼,耳鼻喉(赠送)",鼻腔黏膜及分泌物,描述型,,,
颈椎,"外科检查,颈椎侧位(DR),DR颈椎正侧位",颈椎,描述型,,,
心率,"内科检查,内科,内科检查(女)",心率,数值型,,,
降钙素,"甲状腺肿瘤(CT,TG-AB)",降钙素测定,数值型,,降钙素测定(CT),
自助神经,(JZ)神经内科,自主神经,描述型,,,
?痕部位,"外科检查,外科检查(男),外科,外科检查(常规),外科检查(女),外科检查(含肛检),女外科检查,(女)外科检查,男外科检查,外科检查(女2),(男)外科检查,外科检查(男2),外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",疤痕部位,描述型,,,
胰腺,"腹部彩超,上腹部彩超,肝胆脾胰彩超,肝胆脾胰B超,超声(腹部),肝胆脾肾彩超,肝胆胰脾双肾彩超,彩超(肝.胆.胰.脾.),彩超肝胆胰脾肾+子宫附件,彩超腹部检查男,彩超肝胆脾胰双肾,彩超腹部检查女,上腹部彩超(含双肾)",胰,描述型,,,
张压,内科检查,舒张压,描述型,,,
强迫吸气肺活量,"肺功能,肺功能检查,肺功能检测,肺功能(职业病检查),职业健康体检项目:肺功能检测,(负一楼)肺功能检测,肺功能(职业病),肺功能(职业健康检查),肺功能测定,职业健康检查-肺功能,K-(职业)肺功能,肺通气功能,肺功能检查(赠送),2019肺功能测定,肺功能检查(绵阳),肺功能测定(BN),(外)肺功能检查,通气肺功能检查,KS肺通气功能,慈铭-肺功能检测,肺功能检查(团),肺功能检测(职业),肺功能(AY),MZ肺功能检查,肺功能检查(职业病),肺功能监测,DR换肺功能,肺功能检查(三),KS肺功能检查,KS通气肺功能检查,F肺功能检测,肺功能检测(大连),M肺功能检测",强迫肺活量,数值型,,,
阴道,"妇科常规检查,常规妇检,妇科常规检查(含一次性用品),电子阴道镜(已婚项目),常规妇检(赠送),妇科常规(AY),妇科常规检查W,妇科检查N,妇科检查W,妇科常规(青啤)",阴道,描述型,,,
颈动脉,"颈动脉彩超(双侧),颈动脉彩超,颈动脉血管彩超,颈部血管彩超,彩超(颈部血管)",颈动脉,描述型,,,
