肾超声,心脏超声,心电图,肝超声,颈动脉检查,眼科检查
多囊肾,心房增大,3S综合征,多囊肝,颈动脉斑块,Amsler方格表检测结果异常
海绵肾,动脉导管未闭,Brugada波,肝包虫病,颈动脉内膜增厚,白内障
马蹄形肾,房间隔膨出瘤,Osborn波,肝功能异常,颈动脉狭窄,豹纹状眼底
融合肾,房间隔缺损,R波递增不良,肝弥漫性病变,颈动脉血流速度减慢,玻璃膜疣
肾错构瘤,房室传导阻滞,R波逆向递增,肝囊肿,,玻璃体变性
肾代偿性增大,房室分离,奔马律,肝内低密度影,,玻璃体病变
肾钙化灶,风湿性心脏病,病窦综合征,肝内钙化灶,,玻璃体混浊
肾钙乳症,冠心病,差异性传导,肝内占位病变,,玻璃体机化索条
肾积水,冠状窦性心律,窦房结内游走心律,肝血管瘤,,玻璃体积血
肾强光点声像,尖瓣反流,窦性心动过缓,肝异常回声,,玻璃体异常
肾结晶,尖瓣钙化,窦性心动过速,肝硬化,,飞蚊症
肾结石,尖瓣关闭不全,窦性心律不齐,肝脏增大,,巩膜炎
肾弥漫性病变,尖瓣脱垂,短P-R间期综合征,肝脏肿大,,虹睫炎
肾囊肿,尖瓣狭窄,心电图：窦性停搏,肝掌,,虹膜异常
肾缺如,室壁瘤,心电图：心房扑动,脂肪肝,,黄斑变性
肾体积偏小,室间隔缺损,心电图Q波异常,脂肪肝前期,,黄斑病变
肾萎缩,室间隔增厚,心电图ST-T改变,,,黄斑出血
肾未探及,心包积液,心电图ST段改变,,,黄斑裂孔
肾移植,心包膜增厚,心电图T波改变,,,黄斑色素紊乱
肾异常回声,心横位,心电图低电压,,,黄斑中心反光异常
肾异位,心肌病,心电图逆钟向转位,,,尖样瞳孔
肾脏局限性积液,心肌梗塞,心电图顺钟向转位,,,睑缘炎
肾脏损害,心肌缺血,心电图异常,,,角膜白斑
肾占位性病变,心室肥大,心电图早期复极综合征,,,角膜后色素沉着
肾柱肥大,心室高电压,心电图长QT间期综合症,,,角膜老年环
游走肾,心影增大,心电图左房心律,,,角膜上皮脱落
重复肾,心脏杂音,心电图左心房负荷过重,,,角膜新生血管
,右室增大,心电轴偏移,,,角膜炎
,右位心,心房纤颤,,,角膜云翳
,预激综合征,心房增大,,,结膜裂斑
,主动脉瓣脱垂,房室传导阻滞,,,结膜囊肿
,主动脉夹层真假腔形成,交界性心律,,,结膜色素斑
,主动脉型心脏,束支传导阻滞,,,结膜水肿
,主动脉增宽,心肌缺血,,,结膜下局限性结缔组织增生
,主脉瓣反流,心室肥大,,,结膜炎
,左房血栓,心室高电压,,,结膜翼状胬肉
,左前分支传导阻滞,心影增大,,,近视
,左室壁增厚,异位心律,,,晶体后囊密度增高
,左室肥大,逸搏,,,晶状体表面色素沉着
,左室假腱索,心脏早搏,,,晶状体浑浊
,左室收缩功能减低,预激综合征,,,脉络膜萎缩
,左室收缩功能降低,,,,棉絮斑
,左室舒张功能减低,,,,盘状瘢痕
,左室舒张功能降低,,,,青光眼
,左室舒张功能下降,,,,屈光不正
,左室顺应性欠佳,,,,缺血性视神经病变
,左室增大,,,,弱视
,左心室心肌增厚，左心室压力负荷增加,,,,散光
,,,,,色觉异常
,,,,,色盲
,,,,,色弱
,,,,,沙眼
,,,,,上眼睑下垂
,,,,,神经乳头生理凹陷扩大
,,,,,视杯扩大
,,,,,视力欠佳
,,,,,视盘边缘不清
,,,,,视盘表面出血
,,,,,视盘发育异常
,,,,,视盘新生血管
,,,,,视盘血管袢
,,,,,视盘周围萎缩弧
,,,,,视神经模糊
,,,,,视神经清晰
,,,,,视神经乳头生理凹陷扩大
,,,,,视神经乳头炎
,,,,,视神经萎缩
,,,,,视网膜病变
,,,,,视网膜出血
,,,,,视网膜动脉硬化
,,,,,视网膜静脉周围炎
,,,,,视网膜内微血管异常
,,,,,视网膜色素变性
,,,,,视网膜神经节细胞M通路功能异常
,,,,,视网膜渗出
,,,,,视网膜水肿
,,,,,视网膜有髓神经纤维
,,,,,瞳孔变形
,,,,,网脱术后眼底
,,,,,萎缩斑
,,,,,萎缩性细胞改变
,,,,,小角膜
,,,,,眼底出血
,,,,,眼底窥视不清
,,,,,眼底细节不辨
,,,,,眼睑板腺阻塞
,,,,,眼睑板性肉芽肿性睑腺炎
,,,,,眼睑闭合障碍
,,,,,眼睑结膜结石
,,,,,眼睑麦粒肿
,,,,,眼睑内翻
,,,,,眼睑皮肤色素痣
,,,,,眼睑水肿
,,,,,眼睑外翻
,,,,,眼睑霰粒肿
,,,,,眼球活动受限
,,,,,眼球缺如
,,,,,眼球突出
,,,,,眼球萎缩
,,,,,眼球震颤
,,,,,眼网脱术后眼底
,,,,,眼斜视
,,,,,眼针尖样瞳孔
,,,,,远视
,,,,,增殖膜
