清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
胸部DR正位检查(不出片),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部),（胸）CT,胸,,胸,CT,,
胸部CT,（胸）CT,胸,,胸,CT,,
胸部正位检查,（胸）DR,胸,,胸,DR,正位,
胸片(正位片),（胸）DR,胸,,胸,DR,正位,
CT胸部低剂量螺旋平扫(AY),（胸）CT,胸,,胸,CT,低剂量|螺旋,
胸部CT(送(不含片)),（胸）CT,胸,,胸,CT,,
胸部正位片(不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位DR(不出片|怀孕备孕禁忌),（胸）DR,胸,,胸,DR,正位,
低剂量胸部CT扫描,（胸）CT,胸,,胸,CT,低剂量,
胸部螺旋CT断层扫描,（胸）CT,胸,,胸,CT,螺旋,
低剂量胸部螺旋CT扫描(哺乳|备孕|孕者禁),（胸）CT,胸,,胸,CT,低剂量|螺旋,
CT检查(胸部)(建议怀备孕人士不做),（胸）CT,胸,,胸,CT,,
胸肺CT平扫,（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部CT(不出片),（胸）CT,胸,,胸,CT,,
胸部正位检查-不出片,（胸）DR,胸,,胸,DR,正位,
胸部螺旋CT平扫(不出片),（胸）CT,胸,,胸,CT,螺旋,
肺部CT(胸部DR升级),（肺）CT,,肺,肺,CT,,
胸部螺旋CT断层扫描(DR胸部正位片升级),（胸）CT,胸,,胸,CT,螺旋,
DR检查(胸部正位),（胸）DR,胸,,胸,DR,正位,
胸部CT(2018),（胸）CT,胸,,胸,CT,,
活动胸部CT,（胸）CT,胸,,胸,CT,,
CT检查(胸部)不出片,（胸）CT,胸,,胸,CT,,
胸部正位片,（胸）DR,胸,,胸,DR,正位,
胸部CT(16排不出片),（胸）CT,胸,,胸,CT,16排,
胸部正位DR(不含片),（胸）DR,胸,,胸,DR,正位,
胸部CT(DR升),（胸）CT,胸,,胸,CT,,
胸部X线计算机体层(CT)扫描,（胸）CT,胸,,胸,CT,,
胸部组合平扫(CT)(不含片),（胸）CT,胸,,胸,CT,,
胸肺CT,（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部(肺部)CT,（胸|肺）CT,胸,肺,胸|肺,CT,,
CT(胸肺),（胸|肺）CT,胸,肺,胸|肺,CT,,
DR胸部正位片(不出片),（胸）DR,胸,,胸,DR,正位,
胸部CT(不出片)备孕勿做,（胸）CT,胸,,胸,CT,,
胸部透视,（胸）胸透,胸,,胸,胸透,,
DR胸片(正位片),（胸）DR,胸,,胸,DR,正位,
CT检查胸部,（胸）CT,胸,,胸,CT,,
低剂量胸部CT扫描(无胶片),（胸）CT,胸,,胸,CT,低剂量,
胸部CT(不含片),（胸）CT,胸,,胸,CT,,
胸部正位片(DR不出片),（胸）DR,胸,,胸,DR,正位,
胸透,（胸）胸透,胸,,胸,胸透,,
胸部正位片DR(不含片),（胸）DR,胸,,胸,DR,正位,
低剂量胸部CT扫描(不含胶片),（胸）CT,胸,,胸,CT,低剂量,
胸部DR正位检查,（胸）DR,胸,,胸,DR,正位,
DR胸部正位片(哺乳|备孕|孕者禁),（胸）DR,胸,,胸,DR,正位,
V胸部CT,（胸）CT,胸,,胸,CT,,
DR胸部正位检查,（胸）DR,胸,,胸,DR,正位,
CT(胸部)-不出片,（胸）CT,胸,,胸,CT,,
DR胸部正侧位检查(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部低剂量CT检查,（胸）CT,胸,,胸,CT,低剂量,
胸部CT(团体),（胸）CT,胸,,胸,CT,,
